sku,ean,qty,type,name
RDMilano140x70,4251469405028,11,variant_child,RDMilano
RDMilano200x140,4251469405042,7,variant_child,RDMilano
RDMilano240x170,4251469405059,4,variant_child,RDMilano
RDMilano290x200,4251469405066,7,variant_child,RDMilano
RDMilano340x240,4251469413245,2,variant_child,RDMilano
RDMilano300x80,4251469405035,6,variant_child,RDMilano
GRMilano140x70,4251469405127,0,variant_child,GRMilano
GRMilano200x140,4251469453180,0,variant_child,GRMilano
GRMilano240x170,4251469405158,1,variant_child,GRMilano
GRMilano290x200,4251469405165,7,variant_child,GRMilano
GRMilano340x240,4251469413221,2,variant_child,GRMilano
GRMilano300x80,4251469405134,6,variant_child,GRMilano
RT121Tella140x70,4251469407206,0,variant_child,RT121Tella
RT121Tella160x90,4251469451841,0,variant_child,RT121Tella
RT121Tella200x140,4251469452992,0,variant_child,RT121Tella
RT121Tella240x170,4251469453005,0,variant_child,RT121Tella
RT121Tella250x200,4251469453012,0,variant_child,RT121Tella
RT121Tella300x200,4251469451711,0,variant_child,RT121Tella
RT121Tella350x250,4251469407190,1,variant_child,RT121Tella
RT121Tella300x80,4251469407169,0,variant_child,RT121Tella
RT121Tella400x80,4251469407176,0,variant_child,RT121Tella
MTGRUni60x40,4251469406636,7,variant_child,MTGRUni
MTGRUni90x60,4251469453593,0,variant_child,MTGRUni
MTGRUni140x70,4251469406643,0,variant_child,MTGRUni
MTGRUni400x300,4251469406704,1,variant_child,MTGRUni
MTGRUni300x80,4251469406650,2,variant_child,MTGRUni
MTGRUni350x80,4251469406667,1,variant_child,MTGRUni
MTGRUni200x200Q,4251469406681,1,variant_child,MTGRUni
MTGRUni160x90,4251469451919,0,variant_child,MTGRUni
MTGRUni200x140,4251469451681,0,variant_child,MTGRUni
MTGRUni240x170,4251469406674,0,variant_child,MTGRUni
MTGRUni300x200,4251469453609,0,variant_child,MTGRUni
MTGRUni300x250,4251469453616,0,variant_child,MTGRUni
MTGRUni350x250,4251469406698,2,variant_child,MTGRUni
GREYAsteria90x60,4251469452480,20,variant_child,GREYAsteria
GREYAsteria140x70,4251469452497,20,variant_child,GREYAsteria
GREYAsteria200x80,4251469452503,6,variant_child,GREYAsteria
GREYAsteria300x80,4251469452510,10,variant_child,GREYAsteria
GREYAsteria200x140,4251469452527,9,variant_child,GREYAsteria
GREYAsteria240x170,4251469452534,17,variant_child,GREYAsteria
GREYAsteria250x200,4251469452541,12,variant_child,GREYAsteria
GREYAsteria300x200,4251469452558,17,variant_child,GREYAsteria
GREYAsteria300x250,4251469452565,4,variant_child,GREYAsteria
GREYAsteria350x250,4251469452572,3,variant_child,GREYAsteria
BRSahara60x40,4251469452848,0,variant_child,BRSahara
BRSahara90x60,4251469400368,0,variant_child,BRSahara
BRSahara140x70,4251469400375,0,variant_child,BRSahara
BRSahara200x140,4251469400399,0,variant_child,BRSahara
BRSahara200x200Q,4251469400412,0,variant_child,BRSahara
BRSahara250x250Q,4251469400436,0,variant_child,BRSahara
BRSahara250x250R,4251469400443,1,variant_child,BRSahara
BRSahara240x170,4251469400405,3,variant_child,BRSahara
BRSahara250x200,4251469400429,2,variant_child,BRSahara
BRSahara300x200,4251469400450,0,variant_child,BRSahara
BRSahara350x250,4251469400474,3,variant_child,BRSahara
BRSahara200x80,4251469457317,3,variant_child,BRSahara
BRSahara300x80,4251469400382,0,variant_child,BRSahara
LGR550Uni60x40,4251469453647,0,variant_child,LGR550Uni
LGR550Uni90x60,4251469402102,0,variant_child,LGR550Uni
LGR550Uni140x70,4251469402119,0,variant_child,LGR550Uni
LGR550Uni200x80,4251469402126,2,variant_child,LGR550Uni
LGR550Uni300x80,4251469402133,4,variant_child,LGR550Uni
LGR550Uni400x80,4251469402140,4,variant_child,LGR550Uni
LGR550Uni200x200R,4251469402188,1,variant_child,LGR550Uni
LGR550Uni200x140,4251469402157,1,variant_child,LGR550Uni
LGR550Uni240x170,4251469402164,0,variant_child,LGR550Uni
LGR550Uni300x200,4251469402195,2,variant_child,LGR550Uni
LGR550Uni300x250,4251469402201,0,variant_child,LGR550Uni
LGR550Uni350x250,4251469402218,3,variant_child,LGR550Uni
LGR550Uni400x300,4251469402225,2,variant_child,LGR550Uni
GRWave180x120,4251469412606,0,variant_child,GRWave
GRWave250x80,4251469412613,0,variant_child,GRWave
BRModaro160x90,4251469412347,0,variant_child,BRModaro
BRModaro180x120,4251469412354,0,variant_child,BRModaro
BRModaro200x140,4251469412361,0,variant_child,BRModaro
BRModaro250x80,4251469412378,0,variant_child,BRModaro
ORModaro160x90,4251469412415,0,variant_child,ORModaro
ORModaro180x120,4251469412422,0,variant_child,ORModaro
ORModaro200x80,4251469412439,0,variant_child,ORModaro
ORModaro200x140,4251469412446,0,variant_child,ORModaro
ORModaro250x80,4251469412453,0,variant_child,ORModaro
FL533Uni60x40,4251469413078,2,variant_child,FL533Uni
FL533Uni90x60,4251469402430,2,variant_child,FL533Uni
FL533Uni300x250,4251469402539,0,variant_child,FL533Uni
FL533Uni240x170,4251469402492,7,variant_child,FL533Uni
FL533Uni300x200,4251469402522,5,variant_child,FL533Uni
FL533Uni200x80,4251469402461,5,variant_child,FL533Uni
FL533Uni240x80,4251469451742,1,variant_child,FL533Uni
FL533Uni200x200Q,4251469402508,1,variant_child,FL533Uni
FL533Uni200x200R,4251469402515,0,variant_child,FL533Uni
FL533Uni350x250,4251469402546,3,variant_child,FL533Uni
FL533Uni400x300,4251469402553,2,variant_child,FL533Uni
FL533Uni300x80,4251469402447,2,variant_child,FL533Uni
FL533Uni400x80,4251469402454,4,variant_child,FL533Uni
FL533Uni140x70,4251469402478,8,variant_child,FL533Uni
FL533Uni200x140,4251469402485,2,variant_child,FL533Uni
RTOR106Luxo300x80,4251469452947,-1,variant_child,RTOR106Luxo
RTOR106Luxo400x80,4251469407008,4,variant_child,RTOR106Luxo
RTOR106Luxo140x70,4251469406995,-1,variant_child,RTOR106Luxo
RTOR106Luxo160x90,4251469451872,0,variant_child,RTOR106Luxo
RTOR106Luxo200x140,4251469407022,-1,variant_child,RTOR106Luxo
RTOR106Luxo240x170,4251469452930,0,variant_child,RTOR106Luxo
RTOR106Luxo300x200,4251469407039,0,variant_child,RTOR106Luxo
RTOR106Luxo350x250,4251469407046,1,variant_child,RTOR106Luxo
RDTeppstar60x40,4251469408425,0,variant_child,RDTeppstar
